,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
22,BPP University,875,680,1.05,82.7,35,3.9,4,160,18.1,13.3,1.05,7,70.2,England,2014-15,Bristol,High
23,The University of Bradford,2130,1865,0.56,88,100,4.6,3,170,8,9,0.56,3.7,92.9,England,2014-15,Bradford,Moderate
24,The University of Brighton?,4510,3940,0.4,88.7,170,3.8,2.8,400,8.9,8.5,0.4,2.1,91.7,England,2014-15,Brighton,Moderate
25,The University of Bristol,4280,4085,0.33,95.5,70,1.7,1.6,125,2.9,2.9,0.33,5.6,67.1,England,2014-15,Bristol,Low
26,Brit College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
27,Trinity College Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Bristol,Low
28,Brunel University London,2435,2105,0.51,89.7,160,6.6,3,165,6.9,7.4,0.51,2,97.8,England,2014-15,London,Moderate
29,Buckinghamshire New University,1960,1680,0.64,85.9,50,2.6,3,225,11.5,11.1,0.64,1.6,99.5,England,2014-15,Milton Keynes,High
30,The University of Buckingham,210,185,1.77,88.4,5,2.9,2.3,15,8.2,9.3,1.77,1.3,76.6,England,2014-15,Buckingham,Moderate
31,UK College of Business and Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
32,London College of Business Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
33,Cambridge Arts and Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Cambridge,Low
34,The University of Cambridge,2680,2635,0.37,96.5,20,0.7,1.3,25,1,2.2,0.37,10.6,52.1,England,2014-15,Cambridge,Low
35,The Cambridge Theological Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Cambridge,Low
36,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
37,Canterbury Christ Church University,3285,2950,0.47,88,50,1.5,2.7,290,8.8,9.3,0.47,2,93.8,England,2014-15,Canterbury,Moderate
38,The University of Central Lancashire,5790,4860,0.38,86.8,185,3.2,2.8,745,12.9,10.4,0.38,4.1,92.1,England,2014-15,Preston,High
39,University of Chester,3080,2685,0.5,89.3,75,2.5,2.6,315,10.3,8.1,0.5,1.9,93.5,England,2014-15,Chester,High
40,The University of Chichester,1410,1310,0.66,87.7,15,1.2,2.7,85,6.2,9.5,0.66,1.2,106.2,England,2014-15,Chichester,Moderate
41,Chicken Shed Theatre Company,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
42,The College of Integrated Chinese Medicine,55,35,5.48,90.9,0,1.9,0.9,20,35.8,8.1,5.48,1,85.3,England,2014-15,London,Very High
43,Christie's Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
44,The City College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
45,"City, University of London",2110,1720,0.61,89.9,165,7.7,2.8,225,10.8,7.4,0.61,1.9,91.3,England,2014-15,London,High
46,Cliff College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Ripon,Low
47,The Academy of Contemporary Music,315,280,1.49,87.1,5,1.6,2.4,25,8.3,10.6,1.49,6.4,113.4,England,2014-15,Guildford,Moderate
48,Conservatoire for Dance and Drama,205,200,1.45,89.3,0,1,2,5,1.5,8.7,1.45,1.9,109.1,England,2014-15,London,Low
49,Courtauld Institute of Art,50,45,3.18,95.2,0,2,1.9,0,4.1,2.9,3.18,0.7,67,England,2014-15,London,Low
