,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
796,The University of Leicester,3440,3160,0.4,91.7,120,3.5,2.7,155,4.6,5.6,0.4,2.5,93.3,England,2017-18,Leicester,Low
797,The University of Lincoln,3715,3480,0.4,89,55,1.4,3,180,4.8,8,0.4,1.9,101.8,England,2017-18,Lincoln,Low
798,Liverpool Hope University,1265,1120,0.77,88.5,30,2.4,2.9,110,8.9,8.6,0.77,1.2,99.1,England,2017-18,Liverpool,Moderate
799,Liverpool John Moores University,6130,5335,0.36,87.8,190,3.1,3.2,605,9.9,9,0.36,2.7,98.7,England,2017-18,Liverpool,High
800,The Liverpool Institute for Performing Arts,230,210,1.68,87.5,5,2.6,3,15,6.5,9.5,1.68,0.6,124.6,England,2017-18,Liverpool,Moderate
801,The University of Liverpool,5240,4870,0.33,92.7,140,2.7,2.4,230,4.4,4.9,0.33,3.9,85.8,England,2017-18,Liverpool,Low
802,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Liverpool,Low
803,"University of the Arts, London",2855,2550,0.48,89,70,2.5,2.5,235,8.3,8.5,0.48,12.9,102,England,2017-18,London,Moderate
804,London Bridge Business Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
805,London Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
806,London Churchill College Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
807,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
808,City and Guilds of London Art School,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
809,London School of Commerce & IT Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
810,The London College UCK,95,90,2.69,79.6,0,0,3.4,5,7.2,17.1,2.69,1.1,117.6,England,2017-18,London,Moderate
811,London Metropolitan University,2325,1690,0.68,82.9,190,8.1,3.3,445,19.1,13.8,0.68,3.7,90.5,England,2017-18,London,High
812,London School of Academics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
813,London South Bank University,2730,2325,0.56,85.7,85,3.1,3.1,320,11.7,11.2,0.56,1.8,99.8,England,2017-18,London,High
814,London School of Economics and Political Science,830,790,0.8,95.6,10,1.2,2,30,3.5,2.4,0.8,4.2,66.7,England,2017-18,London,Low
815,London School of Hygiene and Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
816,London School of Management Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
817,London School of Theology,75,60,3.24,86.5,5,4.1,1.5,10,11,12,3.24,9.7,61.7,England,2017-18,London,High
818,London Studio Centre,100,95,2.29,88.8,0,2,2.7,5,3.9,8.5,2.29,0.4,134.7,England,2017-18,London,Low
819,The London School of Architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
820,The London Institute of Banking & Finance,55,50,3.34,84.2,0,3.6,4.1,5,5.5,11.8,3.34,0.2,119.9,England,2017-18,London,Moderate
821,The Film Education Training Trust Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
822,Loughborough University,3240,3060,0.4,92.3,70,2.1,2.5,110,3.5,5.2,0.4,3.4,89.8,England,2017-18,Loughborough,Low
823,Luther King House Educational Trust,10,10,0,0,0,0,0,5,0,0,0,0,0,England,2017-18,London,Low
824,The Manchester Metropolitan University,7620,6825,0.3,88,230,3,3.2,565,7.4,8.8,0.3,3.4,102.7,England,2017-18,Manchester,Moderate
825,The University of Manchester,5365,4985,0.32,93.8,165,3.1,2.1,210,4,4,0.32,4.1,79.1,England,2017-18,Manchester,Low
826,Istituto Marangoni Limited,30,30,4.9,86.7,0,0,3.1,5,12.5,10.2,4.9,0.3,116.2,England,2017-18,London,High
827,The Markfield Institute of Higher Education,20,15,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Markfield ,Low
828,Matrix College of Counselling and Psychotherapy Ltd,30,30,4.21,89.3,0,0,1.9,0,3.3,8.8,4.21,1.1,89.5,England,2017-18,London,Low
829,Mattersey Hall,20,15,0,0,0,0,0,5,0,0,0,0,0,England,2017-18,West Yorkshire,Low
830,St Mellitus College,75,75,2.24,89.7,0,0,1.6,0,0,8.7,2.24,11.5,51.1,England,2017-18,London,Low
831,The Metanoia Institute,60,50,4.1,90.4,0,0,1.3,10,18,8.3,4.1,1,99.6,England,2017-18,London,High
832,Middlesex University,3895,3255,0.46,86,215,5.6,3.3,425,10.9,10.7,0.46,2.1,102.4,England,2017-18,London,High
833,Millennium Performing Arts Ltd,65,60,3.37,88.1,0,1.6,2.7,5,7.8,9.2,3.37,0.5,129.8,England,2017-18,London,Moderate
834,The Minster Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,York,Low
835,Mountview Academy of Theatre Arts,75,75,2.45,88.8,0,1.3,2.7,0,1.3,8.5,2.45,0.6,126.7,England,2017-18,London,Low
836,Mont Rose College of Management and Sciences,150,110,2.89,73.1,5,4,5,35,22,21.9,2.89,2.6,134,England,2017-18,London,High
837,Moorlands College,65,60,3.2,85.7,0,0,2.1,5,7.9,12.1,3.2,3.4,59.4,England,2017-18,Bedfordshire,Moderate
838,All Nations Christian College,10,5,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Morecambe ,Low
839,Nazarene Theological College,35,25,5.19,84,0,6.1,2.6,5,15.2,13.4,5.19,3.2,63.8,England,2017-18,Manchester,High
840,Nelson College London Ltd,170,90,2.89,73.3,30,18.6,5,50,28.5,21.7,2.89,2.9,133.9,England,2017-18,London,High
841,Newbold College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Bath,Low
842,Newcastle University,5285,4950,0.31,93.4,145,2.7,2.2,190,3.6,4.3,0.31,5.2,78.7,England,2017-18,Newcastle  ,Low
843,New College of the Humanities,45,35,4.17,92.4,5,7,2.2,5,11.6,5.5,4.17,0.6,68.9,England,2017-18,London,High
844,Newman University,730,620,1.1,86.9,15,1.8,2.8,95,13.2,10.4,1.1,1.1,95,England,2017-18,Birmingham,High
845,St Nicholas Montessori Training Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
846,Norland College,95,90,2.37,92.1,0,1.1,1.8,5,3.2,6.1,2.37,1.1,74.6,England,2017-18,Bath,Low
847,The University of Northampton,2690,2195,0.58,85.2,150,5.6,3.4,345,12.8,11.4,0.58,1.6,101.9,England,2017-18,Northampton,High
848,Northern College of Acupuncture,35,25,5.69,89.1,0,0,2,5,20.6,8.9,5.69,0.8,83.9,England,2017-18,Manchester,High
849,University of Northumbria at Newcastle,5585,4980,0.36,88.1,135,2.5,3.2,465,8.4,8.8,0.36,2.5,103.3,England,2017-18,Newcastle  ,Moderate
850,Norwich University of the Arts,685,620,1,89.3,15,2.2,2.5,50,7.3,8.2,1,1.7,125,England,2017-18,Norwich,Moderate
851,University of Nottingham,6190,5780,0.3,93.2,160,2.6,2.3,250,4.1,4.5,0.3,4.1,79.6,England,2017-18,Nottingham,Low
852,The Nottingham Trent University,7305,6620,0.3,88.8,185,2.5,3,500,6.8,8.3,0.3,3.7,101.6,England,2017-18,Nottingham,Moderate
853,Oak Hill College,25,25,4.3,93,0,0,1.2,0,3.7,5.8,4.3,9.2,44.3,England,2017-18,"Sevenoaks, Kent",Low
854,The Open University in England,150,150,1.63,89,0,0,1.9,0,0,9.1,1.63,3.4,92.8,England,2017-18,Milton Keynes,Low
855,ICOM,20,15,0,0,0,0,0,5,0,0,0,0,0,England,2017-18,London,Low
856,Oxford Brookes University,3275,2995,0.44,89.8,80,2.4,2.7,205,6.2,7.5,0.44,2.2,94.5,England,2017-18,Oxford,Moderate
857,Oxford Business College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Oxford,Low
858,The University of Oxford,2555,2510,0.4,96.1,10,0.5,1.6,30,1.3,2.3,0.4,8.6,58.4,England,2017-18,Oxford,Low
859,St Patrick's International College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
860,Pearson College,445,390,1.34,84.2,10,2.5,4,45,10.1,11.8,1.34,1.2,103.8,England,2017-18,London,High
861,Plymouth College of Art,470,400,1.31,87.3,20,4,2.5,50,10.4,10.2,1.31,2.1,119.7,England,2017-18,Plymouth,High
862,University of Plymouth,4845,4375,0.38,88.5,100,2,2.9,370,7.7,8.6,0.38,2.2,94.6,England,2017-18,Plymouth,Moderate
863,Point Blank Music School,110,95,2.66,84.1,5,2.8,2.4,10,9.3,13.4,2.66,1.8,100.6,England,2017-18,London,Moderate
864,The University of Portsmouth,5225,4685,0.37,87.4,125,2.4,3.5,415,7.9,9.1,0.37,2.5,98.4,England,2017-18,Portsmouth,Moderate
865,Queen Mary University of London,3535,3115,0.42,91.8,200,5.6,2.7,225,6.3,5.6,0.42,3.1,84.7,England,2017-18,London,Moderate
866,Royal Academy of Dance,25,20,5.02,90.4,0,0,2.1,0,4.3,7.5,5.02,0.1,109.8,England,2017-18,London,Low
867,Ravensbourne University London,845,645,1.12,87.2,45,5.5,2.9,150,17.8,10,1.12,1.7,112.2,England,2017-18,London,High
868,"Richmond, The American International University in London",50,40,3.72,85.1,5,7.7,3.6,5,11.5,11.2,3.72,0.3,96.1,England,2017-18,London,High
869,The University of Reading,3500,3165,0.42,91.7,135,3.8,2.7,205,5.9,5.6,0.42,3.2,92.2,England,2017-18,Reading,Moderate
870,Regent's University London,105,85,2.97,83.7,5,4.7,3.9,20,17,12.4,2.97,0.9,100.5,England,2017-18,London,High
871,Regents Theological College,45,40,4.04,84.7,0,0,2.3,5,10.6,13,4.04,2.3,60.4,England,2017-18,Cambridge,High
872,Regent College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London ,Low
873,Roehampton University,3940,3235,0.44,83.4,200,5.1,3.6,505,12.8,13,0.44,16.1,102.3,England,2017-18,London,High
874,Rose Bruford College of Theatre and Performance,180,160,2.09,87.8,0,0.5,2.7,20,10.4,9.5,2.09,0.5,123.7,England,2017-18,London,High
875,Royal Academy of Music,65,65,2.76,91.5,0,1.5,2.4,0,3,6.1,2.76,0.4,123.8,England,2017-18,London,Low
876,Royal Agricultural University,275,265,1.29,91.1,0,0.4,1.5,5,2.2,7.4,1.29,7.2,42.2,England,2017-18,Cirencester,Low
877,Royal College of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
878,Royal College of Music,65,65,2.84,91.3,0,0,2.4,0,3.1,6.2,2.84,0.4,125.7,England,2017-18,London,Low
879,The Royal Central School of Speech and Drama,180,165,1.96,89.2,5,1.7,2.3,15,7.8,8.6,1.96,0.6,126,England,2017-18,London,Moderate
880,Royal Holloway and Bedford New College,2015,1845,0.55,91.5,55,2.7,2.7,115,5.8,5.8,0.55,1.7,97.5,England,2017-18,Surrey,Moderate
881,Royal Northern College of Music,110,100,2.23,91.5,0,1.9,2.4,5,3.7,6.2,2.23,0.6,121.9,England,2017-18,Manchester,Low
882,The Royal Veterinary College,305,290,1.23,94.7,5,1.6,1.5,5,2.3,3.8,1.23,6.7,37.8,England,2017-18,Hertfordshire,Low
883,SAE Education Limited,335,260,1.75,81.6,10,2.4,3.7,65,19.4,14.7,1.75,3.5,73.2,England,2017-18,London,High
884,"St George's, University of London",705,685,0.84,93.6,5,0.8,1.7,20,2.5,4.7,0.84,2.4,76.2,England,2017-18,London,Low
885,"St Mary's University, Twickenham",1050,915,0.85,86.8,35,3.2,3.1,100,9.6,10.1,0.85,1,97.9,England,2017-18,Twickenham,Moderate
886,The University of Salford,5055,4405,0.39,86.9,160,3.1,3.3,490,9.7,9.8,0.39,2.8,98.6,England,2017-18,Manchester,Moderate
887,The Salvation Army,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
888,London School of Science and Technology Limited,800,625,1.12,73,30,3.9,5,145,18.3,22,1.12,10,89.7,England,2017-18,London,High
889,SOAS University of London,530,450,1.2,92,25,4.5,2.4,55,10,5.6,1.2,1.3,82.9,England,2017-18,London,High
890,Sheffield Hallam University,6625,6050,0.32,87.9,105,1.6,3.2,470,7.1,8.9,0.32,2.8,99.8,England,2017-18,South Yorkshire,Moderate
891,The University of Sheffield,4385,4110,0.35,93.1,110,2.5,2.2,165,3.8,4.6,0.35,3.7,78.1,England,2017-18,South Yorkshire,Low
892,The Sherwood Psychotherapy Training Institute Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
893,Slough Borough Council,25,25,4.06,90.1,0,0,1.1,0,0,8.8,4.06,0.6,131,England,2017-18,Berkshire,Low
894,Solent University,2350,2050,0.57,85.1,80,3.3,3.4,220,9.3,11.4,0.57,2,106.2,England,2017-18,Hampshire,Moderate
895,The University of Southampton,3820,3605,0.38,93.2,70,1.8,2.2,150,3.9,4.6,0.38,3,85.2,England,2017-18,Hampshire,Low
896,Spurgeon's College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
897,Staffordshire University,2980,2580,0.52,84.7,75,2.6,3.4,320,10.7,11.9,0.52,2.3,101.2,England,2017-18,Staffordshire,High
898,University of St Mark and St John,780,665,1.06,86.6,10,1.4,2.5,100,13,10.9,1.06,1.4,102.2,England,2017-18,Kent,High
899,University of Suffolk,1305,1095,0.85,86.3,20,1.6,2.6,190,14.4,11.2,0.85,1.5,101.3,England,2017-18,Suffolk,High
900,The University of Sunderland,3550,2950,0.51,82.6,100,2.8,3.4,500,14.1,14,0.51,5.3,109,England,2017-18,Tyne and Wear,High
901,The University of Surrey,2990,2735,0.45,91,95,3.2,2.7,160,5.4,6.3,0.45,2,92.9,England,2017-18,Surrey,Moderate
902,The University of Sussex,3215,2960,0.42,91.9,100,3.1,2.6,150,4.7,5.4,0.42,2.1,93.9,England,2017-18,East Sussex,Low
903,Teesside University,3465,3010,0.5,85.8,40,1.2,3.3,415,12,11,0.5,2.5,95.9,England,2017-18,North Yorkshire,High
904,Tottenham Hotspur Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
905,Trinity Laban Conservatoire of Music and Dance,195,160,2.14,89.3,10,5.6,2.5,25,13.2,8.2,2.14,0.7,123.6,England,2017-18,London,High
906,The University of Law,445,425,1.08,88.6,5,0.9,4.1,15,3.6,7.3,1.08,3.3,80.5,England,2017-18,London,Low
907,University College London,2920,2730,0.43,94.7,75,2.5,1.9,115,3.9,3.4,0.43,4.1,64,England,2017-18,London,Low
908,Waltham International College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
909,The University of Warwick,3375,3190,0.39,94.4,60,1.8,2,125,3.8,3.6,0.39,5.6,69.2,England,2017-18,West Midlands,Low
910,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,Surrey,Low
911,"University of the West of England, Bristol",5835,5180,0.35,87.8,170,2.9,3.2,485,8.3,9,0.35,2.7,95.7,England,2017-18,Bristol,Moderate
912,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,West Sussex,Low
913,The University of West London,2325,1975,0.6,84.2,80,3.4,3.2,270,11.5,12.7,0.6,1.8,99.9,England,2017-18,London,High
914,The University of Westminster,3265,2830,0.47,86.7,150,4.7,3.4,280,8.6,9.9,0.47,2.2,99.9,England,2017-18,London,Moderate
915,The University of Winchester,2035,1845,0.58,88.7,40,1.9,2.9,150,7.5,8.3,0.58,1.8,97.9,England,2017-18,Hampshire,Moderate
916,West London College of Business and Management Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2017-18,London,Low
917,The University of Wolverhampton,4530,3750,0.45,84.2,120,2.6,3.2,665,14.6,12.5,0.45,3,98.1,England,2017-18,West Midlands,High
918,University of Worcester,2465,2175,0.57,87.8,40,1.6,2.7,250,10.1,9.5,0.57,2.4,97.9,England,2017-18,Worcestershire,High
919,Writtle University College,180,155,2.1,88.9,0,1.1,1.7,25,12.8,9.4,2.1,6.8,43.6,England,2017-18,Essex,High
920,York St John University,2080,1890,0.58,88.6,30,1.5,3,160,7.7,8.5,0.58,1.4,101.6,England,2017-18,North Yorkshire,Moderate
921,The University of York,3835,3630,0.37,93,85,2.2,2.4,125,3.2,4.6,0.37,2.9,86.4,England,2017-18,North Yorkshire,Low
922,AA School of Architecture,20,15,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
923,ACM Guildford Limited,560,440,1.36,86,25,4.1,3,95,16.8,11.1,1.36,2.6,121.2,England,2018-19,Surrey,High
924,Academy of Live and Recorded Arts,60,55,3.23,87.1,0,3.3,2.7,5,6.7,10.2,3.23,0.7,119.9,England,2018-19,London,Moderate
925,AECC University College,125,110,2.36,89.2,5,2.4,2.7,10,8,8.1,2.36,0.4,96.5,England,2018-19,Coventry,Moderate
926,Amity Global Education,40,35,4.23,79.9,0,5,4.7,5,7.5,15.4,4.23,0.6,118.4,England,2018-19,London,Moderate
927,Anglia Ruskin University,5235,4475,0.39,84.3,165,3.2,3.6,590,11.3,12,0.39,9.4,99.8,England,2018-19,Cambridge,High
928,Apex College London,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
929,Arden University,1640,1120,0.9,76.3,65,3.9,4.4,455,27.8,19.3,0.9,5.5,94.8,England,2018-19,Coventry,High
930,Arts Educational Schools,75,75,2.44,88.7,0,0,2.8,0,1.3,8.5,2.44,0.3,127.2,England,2018-19,London,Low
931,Hult International Business School Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
932,Aston University,2705,2465,0.45,89.1,130,4.8,3.7,110,4.1,7.2,0.45,2.5,100.9,England,2018-19,Birmingham,Low
933,Bath Spa University,1870,1670,0.61,88.2,55,3,3.1,145,7.8,8.7,0.61,1.7,109.1,England,2018-19,Bath,Moderate
934,The University of Bath,2515,2415,0.43,94.6,50,1.9,2,50,2.1,3.3,0.43,5,76.5,England,2018-19,Bath,Low
935,University of Bedfordshire,3845,2625,0.54,78.4,220,5.8,4,995,25.9,17.6,0.54,14,86.7,England,2018-19,Bedfordshire,High
936,BIMM Limited,1520,1265,0.77,85.4,45,2.8,3.1,215,14.1,11.5,0.77,7.1,117.3,England,2018-19,Bristol  ,High
937,Birkbeck College,950,765,0.95,82,55,5.9,3.8,125,13.4,14.2,0.95,3.8,78.6,England,2018-19,London,High
938,Birmingham City University,5950,5200,0.36,86.6,165,2.7,3.5,585,9.8,9.9,0.36,2.8,105,England,2018-19,Birmingham,High
939,The University of Birmingham,5365,5105,0.3,94.2,115,2.1,2.2,145,2.7,3.6,0.3,4.5,80,England,2018-19,Birmingham,Low
940,University College Birmingham,655,580,1.07,84.9,15,2.1,2.8,60,9,12.3,1.07,1.9,107.9,England,2018-19,Birmingham,Moderate
941,Bristol Baptist College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Bristol,Low
942,Bishop Grosseteste University,585,530,1.1,89,5,0.9,2.3,50,8.5,8.7,1.1,2.2,86.3,England,2018-19,Lincolnshire,Moderate
943,Bloomsbury Institute,1265,775,0.95,71.5,175,14,5.6,315,24.9,22.9,0.95,14.5,80.1,England,2018-19,London,High
944,The University of Bolton,1685,1405,0.72,84.1,60,3.5,3.4,220,13.1,12.4,0.72,1.7,101.5,England,2018-19,Bolton,High
945,The Arts University Bournemouth,855,795,0.84,89.7,10,1.4,2.6,45,5.4,7.6,0.84,2.2,129.9,England,2018-19,Dorset,Moderate
946,Bournemouth University,3840,3380,0.44,87.7,120,3.1,3.4,335,8.8,9,0.44,2.1,106.1,England,2018-19,Dorset,Moderate
947,BPP University,95,80,2.79,87.2,0,2.1,2.8,10,12.6,10,2.79,4.4,78.5,England,2018-19,Birmingham ,High
948,The University of Bradford,1975,1700,0.61,87.1,105,5.4,3.6,170,8.5,9.3,0.61,1.7,102.3,England,2018-19,West Yorkshire,Moderate
949,The University of Brighton,3845,3340,0.44,88.3,145,3.8,3.2,355,9.3,8.5,0.44,1.8,98.7,England,2018-19,East Sussex,Moderate
950,The University College of Osteopathy,65,55,3.46,88.6,0,1.6,2.6,5,10.9,8.8,3.46,0.4,95.3,England,2018-19,London,High
951,The University of Bristol,4705,4515,0.32,94.8,80,1.7,2,110,2.3,3.2,0.32,4.5,74.7,England,2018-19,Bristol,Low
952,Brit College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
953,Trinity College Bristol,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Bristol,Low
954,Brunel University London,3030,2615,0.47,88.4,195,6.5,3.6,215,7.2,8,0.47,2.3,100.8,England,2018-19,London,Moderate
955,Buckinghamshire New University,3535,2870,0.52,79.8,115,3.3,4,550,15.5,16.3,0.52,6.3,98.5,England,2018-19,Buckinghamshire,High
956,The University of Buckingham,305,270,1.44,87.8,10,4,3,20,6.9,9.2,1.44,1.1,79.1,England,2018-19,Buckinghamshire,Moderate
957,UK College of Business and Computing?,0,0,0,0,,0,0,0,0,0,0,0,0,England,2018-19,London,Low
958,London College of Business Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
959,Cambridge Arts and Sciences Limited,15,10,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Cambridgeshire,Low
960,The University of Cambridge,2570,2535,0.39,96.4,15,0.5,1.4,20,0.9,2.1,0.39,9.9,55.6,England,2018-19,Cambridgeshire,Low
961,The Cambridge Theological Federation,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Cambridgeshire,Low
962,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
963,Canterbury Christ Church University,3290,2795,0.51,86.2,100,3.1,3.3,390,11.9,10.6,0.51,2.6,94.9,England,2018-19,Kent,High
964,The University of Central Lancashire,4425,3645,0.46,85.5,155,3.5,3.5,625,14.1,11,0.46,3,96.2,England,2018-19,Lancashire,High
965,Central Film School London,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
966,University of Chester,2790,2445,0.53,88,60,2.2,3,285,10.2,9,0.53,1.4,100.5,England,2018-19,Cheshire,High
967,The University of Chichester,1280,1145,0.75,87.1,20,1.7,3,110,8.6,9.8,0.75,1.2,116.5,England,2018-19,West Sussex,Moderate
968,Chicken Shed Theatre Company,20,15,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
969,The College of Integrated Chinese Medicine,40,35,4.23,88.9,0,2.4,1.6,5,9.5,9.5,4.23,0.8,89.9,England,2018-19,West Midlands,Moderate
970,Christie's Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
971,Christ the Redeemer College,25,20,7.06,78.5,0,0,2.3,10,29.6,19.2,7.06,4.6,57.1,England,2018-19,London,High
972,The City College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
973,"City, University of London",2475,2100,0.54,90,165,6.7,3.2,215,8.6,6.8,0.54,2.1,97.2,England,2018-19,London,Moderate
974,Cliff College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,West Yorkshire,Low
975,Conservatoire for Dance and Drama,175,165,1.83,89.5,0,1.1,2.1,10,4.6,8.4,1.83,1.8,129,England,2018-19,London,Low
976,Courtauld Institute of Art,45,40,3.74,94.5,0,0,1.9,5,6.8,3.5,3.74,0.5,70.1,England,2018-19,London,Moderate
977,Court Theatre Training Company Ltd,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
978,Coventry University,5435,4750,0.37,87,200,3.7,3.6,485,8.9,9.3,0.37,2.8,101.1,England,2018-19,West Midlands,Moderate
979,Cranfield University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Bedfordshire,Low
980,University for the Creative Arts,1180,1045,0.77,88.9,40,3.4,2.7,90,7.8,8.4,0.77,2.6,123.8,England,2018-19,West Sussex ,Moderate
981,University of Cumbria,1545,1320,0.74,85.9,40,2.6,2.9,185,11.9,11.1,0.74,1.7,104.9,England,2018-19,Cumbria ,High
982,De Montfort University,6025,5235,0.36,86.3,200,3.3,3.8,590,9.8,9.9,0.36,4.2,98.1,England,2018-19,Leicestershire,High
983,University of Derby,3985,3405,0.44,85.4,130,3.3,3.4,450,11.2,11.2,0.44,6.6,93.8,England,2018-19,Derbyshire,High
984,University of Durham,3455,3315,0.37,94.9,40,1.2,1.9,95,2.8,3.2,0.37,6,71.6,England,2018-19,Durham,Low
985,The University of East Anglia,3545,3205,0.43,91.1,110,3.1,2.7,230,6.5,6.1,0.43,2,93.5,England,2018-19,Norfolk,Moderate
986,The University of East London,3260,2650,0.54,84.5,150,4.6,3.5,460,14.1,12,0.54,2.5,100.2,England,2018-19,Greater London,High
987,The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Birmingham,Low
988,Edge Hill University,3210,2910,0.47,87.9,45,1.4,3,255,7.9,9.1,0.47,1.8,104.5,England,2018-19,Lancashire,Moderate
989,Empire College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
990,The University of Essex,3100,2680,0.49,87.8,145,4.7,3.6,275,8.8,8.6,0.49,2.1,102,England,2018-19,Essex,Moderate
991,University College of Estate Management,25,20,6.14,86.4,0,0,1.9,5,13,11.7,6.14,1.8,59.3,England,2018-19,Reading,High
992,ESCP Europe Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London ,Low
993,The University of Exeter,4995,4765,0.31,93.6,90,1.8,2.3,135,2.7,4,0.31,4.7,83,England,2018-19,Devon,Low
994,Falmouth University,1860,1595,0.66,88.1,60,3.3,2.9,200,10.7,9,0.66,3,115.1,England,2018-19,Cornwall,High
995,Fairfield School of Business Ltd,65,55,3.58,78.2,5,7.6,3.4,5,10.6,18.5,3.58,1,136.1,England,2018-19,London,High
996,Met Film School Limited,35,35,3.93,89.3,0,0,2.5,0,5.6,8.2,3.93,0.6,120.4,England,2018-19,London,Moderate
997,The National Film and Television School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,Beaconsfield,Low
998,ForMission Ltd,60,45,4.22,73.7,0,3.2,3.4,15,27.4,22.9,4.22,16.4,48.6,England,2018-19,London,High
999,Futureworks,155,125,2.44,87.3,5,3.9,2.7,20,14.2,10,2.44,0.5,125.7,England,2018-19,London,High
1000,Global Banking School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2018-19,London,Low
1001,University of Gloucestershire,2075,1835,0.6,87.1,60,2.8,3.2,185,8.8,9.7,0.6,1.1,105.1,England,2018-19,Gloucestershire,Moderate
1002,Goldsmiths College,1870,1520,0.67,88,130,6.9,3.2,220,11.8,8.8,0.67,1.5,100.4,England,2018-19,London,High
1003,The University of Greenwich,3760,3265,0.45,86.7,155,4.1,3.2,340,9,10.1,0.45,1.9,100.3,England,2018-19,Greater London,Moderate
1004,Guildhall School of Music and Drama,150,140,1.85,91.2,5,2.7,2.5,5,3.3,6.3,1.85,0.7,126.1,England,2018-19,London,Low
1005,Harper Adams University,535,505,0.98,90.4,5,0.9,1.7,25,4.3,7.9,0.98,14.7,41.9,England,2018-19,Shropshire,Low
1006,Hartpury University,575,500,1.17,86.1,10,1.6,2.5,70,12,11.4,1.17,7.3,72.1,England,2018-19,Gloucestershire,High
